Where are you from? 	고향이 어디십니까? 
You can't deny it. 	당신은 그 사실을 부정할 수 없을 거예요. 
I've got no choice. 	선택의 여지가 없어요. 
I've got to trust you. 	당신을 믿어야지요. 
It's all I can do. 	그게 제가 할 수 있는 전부입니다. 
It's what I live for. 	이 맛에 산다니까요. 
Let's get this straight. 	이 점을 분명히 합시다. 
How dare you come in here like this? 	감히 어떻게 이 꼴을 하고 여기를 오나요? 
`Give me a hand, will you? `	저 좀 도와주시겠어요? 
He's really got a big head. 	그 사람은 자만심이 대단해요. 
Don't be afraid. 	겁내지 말아요.
We won't hurt you. 	우리가 해를 끼치지 않을 거예요. 
I think they're ready. 	준비가 된 것 같아요. 
She's got a big mouth. 	그녀는 수다쟁이예요. 
One at a time. 	차례대로 해 주세요. 
That's how it should be. 	그래야 되는 겁니다. 
Would you like me to take it up to your mother? 	제가 어머님께 갖다 드릴까요? 
I'll do it myself. 	스스로 할 수 있어요. 
I wonder where Momo is. 	모모가 어디 있는지 궁금하군. 
I've got to bite my tongue. 	하고 싶은 말을 참아야 했어요. 
Will you play me a song? 	노래 한 곡 연주해 줄래요? 
He blew his top. 	그는 화를 냈어요. 
Can you follow me? 	이해가 됩니까? 
Sixty times sixty is three thousand six hundred. 	`60×60=3,600. `
How long do you generally sleep each night? 	보통 하루에 몇 시간이나 주무세요? 
I just don't know how to break the ice. 	말문을 어떻게 열어야 할지 모르겠어요. 
Time is money. 	시간은 돈이다. 
You hear me? 	내 말 알아듣겠니? 
Take whatever you like. 	뭐든지 가져가세요. 
You keep on saying the same thing. 	똑같은 말만 해대는군요. 
I'm kind of sorry for him. 	그 사람이 안됐어요.
He's bush league. 	그 사람 별 볼일 없는 사람이에요. 
You've got to believe me. 	저를 믿으셔야 합니다. 
Let me smell your breath. 	입 냄새 좀 맡아봅시다. 
You have to be end of the line. 	줄 뒤에 가서 서세요. 
I'm in a hurry. 	급합니다. 
Where've you been all week? 	한 주일 동안 어디 계셨어요? 
I'll keep that in mind. 	그걸 명심하겠습니다. 
`If you put your mind to it, you can accomplish anything. `	정신일도 하사불성. 
His days are numbered. 	그가 해고될 날도 얼마 남지 않았어요. 
I've got to do something. 	뭔가를 해야겠소. 
I still can't believe it. 	여전히 믿어지지 않는군요. 
You remember one thing. 	한 가지 기억해야 해요. 
You screwed up. 	당신이 망쳐놨어요. 
Best of the best. 	최고 중의 최고. 
We'll make you better. 	우리가 당신들을 더 훌륭히 만들겠소. 
Do you need any help?	도와드릴까요? 
You didn't figure it out yet? 	아직도 이해가 안 가나요? 
It's been great talking to you. 	만나서 반가웠어요. 
`I'll be with you, just a second. `	곧 그리로 갈게요. 
`Listen, can I ask you a personal question? `	`이봐요, 개인적인 질문을 좀 해도 될까요? `
That depends. 	글쎄요. 
Is there something wrong? 	뭐가 잘못됐나요? 
I just happened to see Mig 28. 	난 우연히 미그 28기를 보았다구요. 
That's classified. 	그건 비밀입니다. 
It doesn't seem so in this case. 	이번 경우는 그렇지 않은 것 같아요. 
What's up? 	무슨 일인가? 
I got to be straight with you. 	솔직하게 말하겠네. 
`You didn't give me a chance, did you? `	당신은 기회조차 주지 않았잖아요. 
You deserved it. 	그러니 당연한 거죠. 
Whose side are you on? 	당신은 어느 편이오? 
Let's make teams. 	`우리, 편을 가릅시다. `
It's not your responsibility. 	그건 당신 책임이 아니에요. 
You've got to go on. 	계속 해야 해요. 
I'm here to help. 	당신을 돕고자 해요. 
`If I wanted help really, I would have asked for it. `	정말 도움이 필요했다면 부탁했을 거예요.
`We're going to knock off $5,000 on each car. `	대당 5천 달러씩 깎아 드리겠습니다. 
We really appreciate your patience. 	오래 참아주셔서 정말 감사합니다. 
Not bad at all! 	아주 좋아요. 
I got it under control. 	그 정도는 제가 처리할 수 있어요. 
Put that away! 	그거 치우지 못해! 
The car was off limit to me. 	그 차는 제가 손도 못 댔어요. 
How did it go? 	어떻게 됐지요? 
I got what I expected. 	예상대로였어요. 
Mr. Bruner is still in conference. 	브르너 박사님은 아직 회의 중이십니다. 
Would you like to wait he's out of the office? 	사무실 밖으로 나오실 때까지 기다리시겠어요? 
`Hey, Ray, you wanna go take a walk? `	`레이, 우리 산책할까? `
We'll bring you right back. 	바로 데려다 줄게요. 
What are you looking at? 	뭘 보고 있는 거예요? 
You don't know if they told you or you don't know what dead is. 	`사람들이 당신께 말했는지 안 했는지 모르는 거요, 아니면 죽음이 뭔지 모르는 … `
He doesn't wanna answer the phone. 	전화를 받으려 하질 않는군. 
It doesn't make sense to me. 	`전, 도무지 이해가 안 가는군요. `
I'm sorry he is not here. 	지금 안 계십니다. 
He's out of town until tomorrow afternoon.	내일 오후까지 출장이십니다. 
I've had it enough. 	살다보니 별꼴 다 보는군. 
What is my crime here? 	내가 뭘 잘못했단 말이오? 
Does he have any special ability? 	저 분이 무슨 특별한 능력이 없나요? 
He is a genius. 	천재군요. 
He'll catch up with us. 	그 사람은 곧 따라올 거예요. 
I'm coming. Wait. 	`갑니다, 기다려요. `
Two skis are like stone age. 	두 발로 스키를 타는 시대는 지나갔어. 
`Oh, yeah? `	`어, 그래? `
Do I know you? 	뵌 적이 있던가요? 
Where do you get off? 	어디서 내리세요? 
She's not that kind of girl. 	그 애는 그런 여자가 아니야. 
I can feel it. 	느낌으로 알 수 있다니까. 
Here I am. 	`저, 여기에 있어요. `
That makes no difference. 	상관없어요.(전혀 다를 바가 없군요.) 
Make yourself at home. 	편히 쉬십시오. 
Not really. Come to think of it.	`생각해 보니, 꼭 그렇지는 않네요. `
Is this it? 	여긴가요? 
`It's good-bye until April, I guess. `	이제 4월까지는 못 보겠군요. 
She's night shift at the moment. 	그녀는 야간 근무조예요. 
We take turns. Everybody gets to cook. 	돌아가며 합니다. 모두가 요리를 해야 하죠. 
No kidding! 	정말이야? 
Normally she's not that kind of girl I go for. 	보통은 난 그런 타입의 여자를 좋아하지 않거든. 
I'll get it. 	내가 받을게. 
Hold on a minute. 	잠깐만 기다리세요. 
Would you please tell him Valentine called? 	발렌타인에게 전화 왔다고 전해주세요. 
Please ask him to call me as soon as he gets into the hotel. 	호텔로 들어오는 즉시 저한테 전화해 달라고 좀 해 주세요. 
He saved my life. 	이 사람이 내 목숨을 구했어요. 
What kind of work experience have you had? 	어떤 일을 해 보셨나요? 
You've got good hands. 	당신은 솜씨가 좋군요. 
I wish you didn't look so worried. 	그렇게 걱정스런 표정을 짓지 마세요. 
I second the motion. 	동의에 재청합니다. 
All in favor? / All oppose? 	찬성하시는 분은? / 반대하시는 분은? 
I'm not sure I can do it again. 	다시 할 수 있을지 모르겠어요.
Don't doubt yourself. 	자신을 가져요. 
I want to know you're all right. 	잘 지내는지 알고 싶군요. 
Please don't stop me again. 	또 다시 바람맞히면 안 돼요. 
I just wanna talk to him just for five minutes. 	저이와 5분만 얘기하고 싶소. 
About what? 	뭐에 대해서 말이오? 
It's not over (yet). 	아직 끝나지 않았어요. 
Who do you think I am? 	나를 도대체 뭘로 보는 거예요? 
I hope I didn't scare you. 	제가 놀라게 하지는 않았는지 모르겠군요. 
I want to get a drink with you. 	당신과 한 잔 하고 싶은데요. 
What's the problem? 	뭐가 문제요? 
Everything's under control. 	모든 게 잘 진행되고 있어요. 
Who‘s there? 	거기 누구요? 
Are you sure any better? 	확실히 좀 나아진 것 같아요? 
He's very happy with the movie. 	그는 그 영화에 무척 만족하고 있어요. 
He's just not an easy guy. 	그는 꽤 까다로운 사람이지요. 
I think the problem is me. 	내가 문제인 것 같군요. 
Do you think he's upset? 	저 사람이 화난 것 같나요? 
She can't take me being gone any more. 	나와 떨어져 있는 것을 더 이상 참지 못해요.
I think she knows something. 	뭔가 눈치를 챘나 봐요. 
This is for you. 	이거 당신께 드리는 거예요. 
I don't want to see you get hurt. 	당신이 상처받는 것을 보고 싶지 않소. 
This is not a big deal. 	별일 아니에요. 
She's pissing me off. 	저 여자가 날 열 받게 하는군. 
He won't disappoint us. 	우리를 실망시키지 않을 겁니다. 
`I'll do my best, sir. `	최선을 다하겠습니다. 
That wouldn't be fair. 	그건 부당해요. 
Excuse us for a moment. 	저희는 잠시 실례하겠습니다. 
Couldn't get any worse. 	손해 볼 것 없잖아. 
`You, guys are the same way. `	너희들도 다를 바가 없구나. 
This project is due tomorrow. 	이 프로젝트는 내일까지 마감입니다. 
Let me urge you now not to test me on this point. 	이 점을 분명히 명심해 두도록. 
Who knows where that comes from? 	그게 어디서 나온 말인지 아는 사람? 
Not a clue? 	감이 안 잡히나? 
He'll test us on that stuff? 	그런 걸 시험에 내실까?
Suit yourself. 	좋을 대로 해라. 
Can you get that? 	좀 나가 볼래? 
Can I help you? 	무슨 일로 오셨죠? 
Are you here to see Jete? 	제트를 만나러 오셨나요? 
`Like father, like son. `	부전자전. 
I met the most beautiful girl I've ever seen in my entire life. 	내 생애 가장 아름다운 여성을 만났어. 
It's worse than too bad. It's tragedy. 	이건 너무 안 된 것을 넘어 비극이야. 
Open your text page 21 of the introduction. 	여러분의 교재 서문 부분 21쪽을 펴세요. 
Understanding poetry by Dr. xx Ph. D. 	철학 박사 XX저 “시의 이해” 
What the hell is going on here? 	이게 도대체 무슨 짓들인가? 
`I'm sorry, I didn't know you are here. `	미안합니다. 여기 계신 줄 몰랐습니다. 
`For the first time in my whole life, I know what I wanna do. `	난생 처음으로 내가 뭘 하고자 하는지 알아냈어. 
Nothing's impossible! 	불가능이란 없어! 
`I want all to come over here take a slip of paper, and line up a single file. `	모두들 이리 와서 종이 한 장씩 받아가고 일렬종대로 서라. 
Hand these out to the boys. One a piece. 	애들에게 나눠줘라. 한 사람 앞에 하나씩. 
`You know what to do, Picks? `	`픽스, 어떻게 하는지 알고 있지? `
Now go on! 	`자, 계속 해! `
What's going on? 	무슨 일이야? 
Funny thing about this is … 	이게 좀 웃기는 건 말이야 … 
`Excuse me, may we have a word, Mr. Keating? `	`키딩 선생, 잠시 얘기 좀 합시다.`
I'm hearing a rumor about ~ 〔that S+V ~〕 	~라는 소문이 들리더군요. 
Don't talk back to me. 	말대꾸 하지 마라. 
Who put you up to it? 	누가 배후에서 조종을 했니? 
Is that clear? 	내 말을 분명히 알아듣겠니? 
`I made a great many sacrifices to get you here, Neil. `	`닐, 너를 이곳에 입학시키기 위해서 많은 희생을 했다. `
How much will it cost? 	비용이 얼마나 들겠소? 
My friend has a large family. 	친구에게는 식구가 많아요. 
You are in wonderful shape. 	건강 상태가 아주 좋군요. 
I feel chilly. 	오슬오슬 춥습니다. 
You can't miss it. 	틀림없이 찾을 수 있을 겁니다. 
I'll take you there. 	제가 그 곳으로 모셔다 드리겠습니다. 
I very much appreciate going with you. 	함께 간다면 아주 고맙게 생각할 거요. 
Can you handle a boat? 	배를 조정할 줄 아나? 
Chances are very poor. 	가능성은 아주 희박해요. 
What do you expect me to say? 	내가 무슨 말을 해주길 바라는 거요? 
Do I look OK? 	내가 괜찮아 보이나? 
That looks great on you. 	그게 당신께 잘 어울려 보이는군요. 
You better check last if everything is OK. 	모든 게 완전한지 마지막으로 확인해 보세요. 
Stamp me a postcard when you get to Honduras.	온두라스에 도착하면 엽서나 한 장 보내주세요. 
I must tell you something. 	할 말이 있네. 
You don't have to say anything. 	자넨 아무 말도 할 필요가 없네. 
I used to go out with George. 	한 때는 조지와 데이트를 했었죠. 
`What's the secret, George? `	`조지, 비결이 뭔가? `
George's is on me. 	조지 것은 제가 낼게요. 
What a guy! 	참 좋은 친구군! 
It wasn't that bad. 	그리 나쁘지는 않았어요. 
Tell me something about yourself. 	자기소개 좀 해봐요. 
I'm gonna miss this place. 	난 이곳을 잊지 못할 거야. 
How can I forget you? 	제가 어찌 당신을 잊겠어요. 
I think that's what we should do. 	제 생각에는 우리가 그렇게 해야 할 것 같아요. 
I mean it? 	진심이라니까요! 
It's not what I had in mind. 	그건 제가 생각했던 것이 아니었습니다. 
I'll help you with any expenses. 	비용이 든다면 제가 도와 드리겠습니다. 
I can stop thinking about her. 	그 애 생각을 안 할 수가 없더군. 
I start wondering what she looks like. 	그 애가 어떻게 생겼는지 궁금해져.
What a shame! 	부끄러운 일이죠! 
The color is striking. 	그 색깔이 눈에 잘 띄더군요. 
Look what I have in my hands. 	내 손에 뭐가 있는지 좀 봐라. 
Give me a break. 	제발 저 좀 내버려 두세요. 
Your fly is open. 	바지 지퍼가 열렸군요. 
That's the most disgusting thing I've ever heard. 	내가 들어 본 것 중 가장 역겨운 얘기군요. 
You can ruin your eyes. 	눈 버리시겠어요. 
You want an architect for a daughter? 	딸이 건축가가 되었으면 하나요? 
Give me five. 	손을 내놔 봐. 
He said something came up. 	무슨 일이 생겼대요. 
This time I want you to meet Jenis. 	이번 기회에 제니스를 한번 만나보렴. 
You're a part of my life. 	`넌, 나에게 중요한 사람이야. `
You watch your mouth about Jenis. 	`너, 제니스에 대해 함부로 말하지 마. `
When did you start getting so bossy? 	언제부터 그렇게 우두머리 행세를 하기 시작했죠? 
I guess you could say that. 	그렇다고 말할 수 있겠죠. 
`When he died, he left it to us. `	`그가 사망했을 때, 그걸 우리에게 남겨두었지. `
I kind of feel sorry for her. 	그 애가 좀 안된 것 같다. 
I'll tell you one thing now. 	내 말 좀 들어 봐. 
Why don't we sit over here? 	이쪽으로 앉는 게 어떨까요? 
`Two coffees, please, one with milk. `	커피 두 잔 주세요. 한 잔은 크림을 넣어서요. 
We are pretty close to that.	우리는 거의 그럴 것 같습니다. 
Here's the thing … 	사실은 … 
`No, we wouldn't dream of it. `	`아닙니다, 그런 건 꿈도 꿔보지 못했어요. `
Why don't you say what you mean? 	정작 하고 싶은 말을 해 보세요. 
Less is more. 	말은 적게 할수록 가치 있는 거야. 
You look so good together. 	댁들은 참 잘 어울려 보여요. 
Let me see your face. 	얼굴 좀 보자꾸나. 
You got a minute. 	시간을 잠깐만 드리겠습니다. 
How were you at school? 	오늘 학교생활은 어땠니? 
I go get changed and walk you home. 	가서 옷 갈아입고 올 테니 함께 집까지 걸어가자. 
This is your lucky day. 	오늘은 너에게 운이 좋은 날이야. 
I want you to stay sway from my boy friend. 	내 남자 친구한테 접근하지 말았으면 좋겠어. 
I just wanted to tell you how sorry I am about your sister. 	네 동생 일에 대해 정말 유감으로 생각하고 있다는 말을 전하고 싶었다. 
`If you need anyone to talk to, I'm here. `	`얘기할 상대가 필요하면, 언제나 나를 찾아와라. `
What do you think the poet is talking about here? 	여기서 시인이 나타내고자 하는 게 뭐라고 생각하나요? 
Let bygones be bygones. 	과거는 과거로 묻어둡시다. 
Let's settle down. 	`자, 우리 침착합시다. `
`If I can hold your attention for a minute, I'd like to take you over to the chart.`	`모두 잠시 마음을 가라앉히고, 도표에 집중해 주세요. `
I've got to do some stuff for my mother!	어머니한테 해 드려야 할 일이 있단 말이야. 
This is a hot stuff! 	이건 참 매력적인 걸! 
I'd like to open this up to questions. 	여러분의 질문을 받겠습니다. 
`If you do have questions, go ahead and raise your hands. `	질문이 있으면 손을 드세요. 
I don't feel like me any more. 	나는 제 정신이 아니야. 
What can you do when that happens? 	그럴 때는 어떻게 하니? 
I wasn't too sure about the spelling. 	나는 철자에 자신이 없었지. 
There was a lot of feeling in the words. 	글 속에는 풍부한 감정이 있었어요. 
I'm sorry for what happened to you. 	그렇게 되어서 참 안됐어요. 
I wanted to reach out and help you … 	달려가서 돕고 싶었지만 … 
You got to take your Mom seriously. 	엄마 말씀을 들어라. 
It's not my fault. 	그건 내 잘못이 아니야. 
I guess we'll see. 	두고 봐야죠. 
Will you please sign your book? 	당신이 쓴 책에 사인 좀 해 주세요. 
You better be careful or you will through your back out again. 	무리하지 마세요. 그렇지 않으면 허리를 다시 다칠 거예요. 
Home from the wars!	드디어 제대를 했군! 
I'll ask McDougal to give you a job. 	맥더글에게 네 일자리를 부탁해야겠다. 
No way! 	말도 안 돼요! 
That will be a buck for the beer. 	맥주 값은 1달러다. 
I'm gonna give you your first lesson. 	첫 교훈을 일러주마. 
I know what's going on today. 	나는 현실 감각이 있어요. 
I catch on pretty quick. 	빨리 적응할 수 있어요. 
I believe in positive thinking. 	저는 긍정적인 사고를 갖고 있습니다. 
I'm willing to start at the bottom. 	밑바닥부터 시작할 용의가 있습니다. 
That's (as) sure as hell. 	아주 분명한 거지. 
We can't let a little thing like cash stand in our way. 	돈 때문에 기죽을 수는 없잖아. 
Fifty fifty. 	반반씩 합시다. 
To our health and friendship! 	우리의 건강과 우정을 위해! 
My friend's just passed out on the beach over there. 	친구가 해변 저쪽에 기절해 있어요. 
Is she gonna be all right? 	괜찮을까요? 
It will make you feel better. 	그걸 먹으면 기분이 좀 나아질 거예요. 
I don't want to throw up. 	토하고 싶지 않아요. 
I wanted to come by and thank you for helping out yesterday. 	어제 도와주신 데 대해 감사의 말을 전하고자 들렀어요. 
She has a hang over. 	아직 숙취가 있어요. 
Some woman must have really done a job on you. 	어떤 여자한테 크게 상처를 받은 모양이군요. 
I'm not like all women. 	모든 여자가 그렇다고 해도 난 그렇지 않아요.
`That sounds very nice, but I've got plans of my own. `	좋긴 한데 나도 계획이 있어요. 
I'll be heading back to New York with her. 	그녀와 뉴욕으로 돌아갈 거예요. 
`Could you tell me what the specials are, please? `	특별 요리가 뭔지 알려주시겠어요? 
I'll be there in a minute. 	곧 갑니다. 
How did I humiliate you? 	내가 어떤 식으로 당신을 모욕했죠? 
It's not as bad as it seems. 	생각만큼 나쁜 일은 아니에요. 
I got a problem. You got time for quick talk? 	문제가 생겼는데 잠깐 얘기할 시간 좀 있어요? 
Make it fast. I'm really busy here. 	빨리 말해봐. 바쁘니까 … 
`Excuse me, I don't mean to bother you. `	실례합니다. 번거롭게 하고 싶지 않습니다만. 
What apartment are the Moonie's in? 	문니는 몇 호에 삽니까? 
God knows I've not done the right things. 	그건 분명히 내가 잘못한 거야. 
I deserve a second chance. 	이젠 잘 할 수 있어. 
Stay out of this. 	이 문제에 개입하지 마시오. 
It didn't have to be this way. 	이렇게까지 할 필요는 없었는데요 … 
I swear I'll be the best Dad I can. 	나는 아빠로서 최선을 다하겠어. 
Drinks are on the house. 	오늘 술은 공짜입니다. 
`Hi, Bethy, come on in.`	`안녕 베스, 어서 들어와요. `
Let's do it. Everything's set up. 	그렇게 합시다. 모든 게 준비되어 있으니까. 
`Daddy, can I take a break? `	`아빠, 저 좀 쉬어도 될까요? `
Go ahead. 	그렇게 하려무나. 
You look beautiful. 	멋있어 보이는데. 
Tell him I'll be right down. 	곧 내려간다고 전해줘요. 
I think I'm gonna be sick. 	`아이, 메스꺼워. `
That makes me sick. 	`어휴, 구역질나. `
What would you like to do? 	뭘 하고 싶으세요? 
I guess we'd better go. 	가봐야겠어요. 
That's OK. Just forget it. 	괜찮아요. 잊어버려요. 
Let me freshen up. 	맑은 공기를 좀 마시고요. 
`I guess I learned a lot and I guess I missed a lot, too. `	`많은 것을 배우고, 또 많은 것을 잃은 것 같아. `
You know what I mean? 	내 말뜻을 알겠어? 
We didn't mean it. 	일부러 그런 것은 아니었어요. 
Would you be interested in seeing a movie next Saturday night? 	다음 주 토요일 저녁에 영화 보러 갈래요? 
She's little upset. 	좀 화가 나 있어. 
I can't afford it. 	난 (사줄만한) 여유가 없어. 
I think her dad is a banker or something. 	그 애 아빠가 은행가쯤 될 거예요. 
It's just wasting your time. 	그건 시간 낭비란다. 
I got some work I got to finish. 	끝내야 할 일이 있어요.
`Call me sometime, OK? `	조만간 전화해 주세요. 
I'm just wondering when you started dating with Jack Dunkin. 	언제부터 잭 던킨과 데이트를 하기 시작했지? 
Personally I feel he's more suitable for you than Dunkin's kid. 	개인적으로는 그가 던킨 집 애 보다는 너에게 더 어울릴 것 같은데. 
I left a message. 	전해달라고 했지. 
`Go for it, Jack. `	`잘해봐, 잭. `
Kinda messages? 	연락 온 것 없었나? 
`Make me one of my specialized teas, will you? `	내가 즐겨하는 차 한 잔 타 주시겠어요? 
`Come on, I'll tell you. `	`이리와 봐, 말해줄게. `
Do you want a sip? 	한 모금 마셔볼래? 
Is it OK for me to go to town for a while? 	제가 잠깐 시내에 좀 다녀와도 될까요? 
Why not? 	물론이지. 
He went to town on an errand. 	일이 있어서 시내에 갔는데요. 
Would you tell him I stopped by? 	제가 들렀다고 전해주시겠어요? 
